##genome-build hg18
##file-date 2010-03-03
#sample|patient_num|encounter_num		
NA06984|1000000001|1880001001			
NA06985|1000000002|1880001002
NA06986|1000000003|1880001003
NA06989|1000000004|1880001004	
NA06994|1000000005|1880001005 	
NA07000|1000000006|1880001006 
NA07037|1000000007|1880001007
NA07048|1000000008|1880001008
NA07051|1000000009|1880001009
NA07346|1000000010|1880001010 	
NA07347|1000000011|1880001011
NA07357|1000000012|1880001012
NA10847|1000000013|1880001013	
NA10851|1000000014|1880001014 	
NA11829|1000000015|1880001015 
NA11830|1000000016|1880001016 	
NA11831|1000000017|1880001017 	
NA11832|1000000018|1880001018 
NA11840|1000000019|1880001019 
NA11843|1000000020|1880001020	
NA11881|1000000021|1880001021
NA11893|1000000022|1880001022	
NA11918|1000000024|1880001024	
NA11919|1000000025|1880001025 
NA11920|1000000026|1880001026
NA11930|1000000027|1880001027 	
NA11992|1000000029|1880001029 	 	
NA11994|1000000031|1880001031 	 	
NA11995|1000000032|1880001032 	 	
NA12003|1000000033|1880001033 	 	
NA12004|1000000034|1880001034 	 
NA12005|1000000035|1880001035 	 
NA12006|1000000036|1880001036 	 
NA12043|1000000037|1880001037 	 
NA12044|1000000038|1880001038 	 
NA12045|1000000039|1880001039 
NA12058|1000000040|1880001040	 	
NA12144|1000000041|1880001041 	
NA12154|1000000042|1880001042 	 
NA12155|1000000043|1880001043 	 
NA12156|1000000044|1880001044 	 
NA12234|1000000045|1880001045 	 
NA12249|1000000046|1880001046 
NA12272|1000000047|1880001047	
NA12273|1000000048|1880001048	
NA12275|1000000049|1880001049	
NA12282|1000000050|1880001050	
NA12283|1000000051|1880001051	
NA12286|1000000052|1880001052	
NA12287|1000000053|1880001053 
NA12340|1000000054|1880001054	
NA12341|1000000055|1880001055	
NA12342|1000000056|1880001056	
NA12347|1000000057|1880001057	
NA12348|1000000058|1880001058	
NA12383|1000000059|1880001059	
NA12400|1000000060|1880001060	
NA12413|1000000061|1880001061	
NA12414|1000000062|1880001062  
NA12489|1000000063|1880001063  
NA12546|1000000064|1880001064
NA12716|1000000065|1880001065  
NA12717|1000000066|1880001066
NA12718|1000000067|1880001067	
NA12748|1000000068|1880001068 
NA12749|1000000069|1880001069   	
NA12750|1000000070|1880001070   	
NA12751|1000000071|1880001071   	
NA12760|1000000072|1880001072   	
NA12761|1000000073|1880001073   	
NA12762|1000000074|1880001074   	
NA12763|1000000075|1880001075 
NA12775|1000000076|1880001076	
NA12776|1000000077|1880001077 
NA12812|1000000078|1880001078  
NA12814|1000000080|1880001080  
NA12815|1000000081|1880001081   	
NA12828|1000000082|1880001082
NA12829|1000000083|1880001083	
NA12830|1000000084|1880001084	
NA12842|1000000085|1880001085	
NA12843|1000000086|1880001086
NA12872|1000000087|1880001087   	
NA12873|1000000088|1880001088   	
NA12874|1000000089|1880001089   
NA12878|1000000090|1880001090	
NA12889|1000000091|1880001091
NA12890|1000000092|1880001092	
NA12891|1000000093|1880001093
NA12892|1000000094|1880001094
